Name,Age,Overall,Potential,Special,BMI
 11 J. Litmanen,39.0,75.0,86.0,1736.0,24.29
 11 M. Jankulovski,33.0,72.0,85.0,2044.0,24.52
 11 M. Materazzi,36.0,76.0,85.0,1865.0,24.69
 11 Mista,31.0,68.0,77.0,1799.0,21.83
 11 Nihat,30.0,76.0,82.0,1971.0,23.11
 11 O. Dabo,33.0,73.0,79.0,2030.0,24.14
 11 P. Vieira,34.0,76.0,87.0,2042.0,22.0
 11 Qu Bo,28.0,71.0,72.0,1754.0,21.83
 11 R. Abbondanzieri,37.0,73.0,82.0,1303.0,25.3
 11 R. Pires,36.0,75.0,84.0,1855.0,22.36
 11 R. Reçber,37.0,73.0,82.0,1193.0,21.51
 11 R. Savage,35.0,68.0,80.0,2054.0,21.83
 11 Ronaldo,33.0,77.0,91.0,1739.0,28.11
 11 Sun Xiang,28.0,66.0,68.0,1878.0,22.14
 11 Victor Hugo,19.0,66.0,75.0,1674.0,23.11
 11 W. Aubameyang,23.0,60.0,68.0,1465.0,22.75
 12 A. Mei,22.0,63.0,67.0,1543.0,22.69
 12 A. da Luz,23.0,60.0,66.0,1635.0,23.09
 12 D. Odonkor,27.0,66.0,70.0,1649.0,24.47
 12 D. Suazo,31.0,74.0,74.0,1872.0,22.13
 12 Diego,29.0,71.0,75.0,1177.0,25.3
 12 E. Cissé,33.0,74.0,74.0,1937.0,22.11
 12 Elvis,20.0,66.0,75.0,1585.0,23.77
 12 F. Inzaghi,37.0,73.0,73.0,1507.0,22.45
 12 F. Kanouté,33.0,76.0,76.0,1888.0,22.0
 12 G. Milito,30.0,79.0,79.0,1743.0,24.67
 12 G. Zambrotta,34.0,76.0,76.0,2067.0,23.37
 12 H. Butt,37.0,75.0,75.0,1204.0,24.52
 12 H. Crespo,35.0,76.0,76.0,1655.0,24.22
 12 I. Córdoba,34.0,78.0,78.0,1781.0,24.47
 12 J. Shao,31.0,67.0,67.0,1715.0,23.49
 12 K. Keller,41.0,69.0,69.0,1169.0,24.34
 12 L. Batlles,35.0,73.0,73.0,1855.0,22.14
 12 L. King,30.0,82.0,82.0,1643.0,24.34
 12 M. Ballack,34.0,80.0,80.0,2181.0,24.63
 12 M. Boateng,19.0,48.0,58.0,1242.0,20.63
 12 M. Brown,32.0,64.0,64.0,1558.0,27.02
 12 M. Janečka,28.0,64.0,67.0,1543.0,21.53
 12 M. Oddo,35.0,71.0,71.0,1999.0,22.72
 12 M. Traoré,22.0,61.0,73.0,1515.0,24.22
 12 M. Zidan,29.0,75.0,75.0,1873.0,23.8
 12 N. Solano,36.0,62.0,62.0,1746.0,24.13
 12 Neca,31.0,73.0,73.0,1907.0,22.46
 12 Nilmar,26.0,83.0,86.0,1888.0,22.45
 12 O. Hargreaves,30.0,78.0,78.0,2106.0,22.45
 12 R. van Nistelrooy,34.0,77.0,77.0,1784.0,22.36
 12 Raúl,34.0,81.0,81.0,1924.0,20.91
 12 Rivaldo,39.0,75.0,75.0,1730.0,21.23
 12 Roberci,30.0,69.0,69.0,1663.0,23.32
 12 Roberto Carlos,38.0,79.0,79.0,2207.0,24.55
 12 S. Ivanov,30.0,67.0,67.0,1832.0,22.72
 12 T. Dixon,21.0,55.0,64.0,1400.0,25.07
 13 A. Akinyemi,18.0,53.0,62.0,1480.0,21.52
 13 A. Asghar,17.0,52.0,60.0,1478.0,20.07
 13 A. Cristea,28.0,65.0,65.0,1723.0,23.09
 13 A. Frei,32.0,77.0,77.0,1977.0,22.45
 13 A. Friedrich,33.0,74.0,74.0,1683.0,23.85
 13 A. Håland,34.0,67.0,67.0,1510.0,22.36
 13 A. Keita,30.0,82.0,82.0,2019.0,23.32
 13 C. Benítez,26.0,77.0,80.0,1932.0,24.86
 13 C. Metzelder,31.0,74.0,74.0,1561.0,24.69
 13 C. Schultz,18.0,46.0,58.0,864.0,22.36
 13 D. Beckham,37.0,78.0,78.0,2012.0,22.13
 13 D. James,41.0,65.0,65.0,1169.0,25.23
 13 D. Stanković,33.0,78.0,78.0,1979.0,22.75
 13 Deco,34.0,76.0,76.0,1872.0,23.77
 13 Diego Souza,27.0,76.0,79.0,1981.0,25.6
 13 E. Davids,39.0,64.0,64.0,1837.0,23.48
 13 E. Rivera,19.0,59.0,66.0,1509.0,20.7
 13 F. Miccoli,33.0,81.0,81.0,2025.0,25.98
 13 F. Orsula,20.0,63.0,74.0,1426.0,22.72
 13 F. Torres,19.0,59.0,65.0,1402.0,21.83
 13 Francis,22.0,59.0,63.0,1374.0,22.75
 13 G. Asamoah,33.0,66.0,66.0,1780.0,25.83
 13 G. Gattuso,34.0,78.0,78.0,1858.0,24.36
 13 I. Klasnić,32.0,73.0,73.0,1774.0,23.85
 13 J. Carragher,34.0,77.0,77.0,1561.0,24.14
 13 J. Mensah,29.0,71.0,71.0,1571.0,25.62
 13 K. Belfort,20.0,62.0,73.0,1591.0,20.63
 13 K. Obodo,27.0,59.0,59.0,1609.0,24.52
 13 L. Landín,26.0,62.0,62.0,1543.0,26.01
 13 L. Saha,33.0,76.0,76.0,1807.0,19.78
 13 L. Zapata,32.0,63.0,63.0,1597.0,24.36
 13 M. Cabrera,32.0,66.0,66.0,1743.0,21.19
 13 M. Owen,32.0,74.0,74.0,1751.0,23.13
 13 M. van Bommel,35.0,79.0,79.0,1997.0,25.01
 13 Mancini,31.0,72.0,72.0,1927.0,23.32
 13 N. Teja,21.0,65.0,74.0,1703.0,20.72
 13 Nuno Gomes,35.0,69.0,69.0,1749.0,22.14
 13 P. Neville,35.0,74.0,74.0,1868.0,23.37
 13 P. Owomoyela,32.0,70.0,70.0,1870.0,24.63
 13 P. Pardo,35.0,67.0,67.0,1845.0,22.14
 13 P. Scholes,37.0,80.0,80.0,2065.0,24.52
 13 Pablo Ibáñez,30.0,70.0,70.0,1579.0,23.08
 13 R. González,27.0,59.0,62.0,1521.0,23.48
 13 S. Perrotta,34.0,72.0,72.0,1951.0,22.78
 13 T. Frings,35.0,72.0,72.0,1890.0,23.62
 13 Vicente,30.0,72.0,72.0,1751.0,22.78
 14 A. Baggio,19.0,58.0,70.0,1397.0,23.62
 14 A. Banvo,19.0,55.0,67.0,1388.0,24.91
 14 A. Colón,26.0,67.0,68.0,1734.0,23.11
 14 A. Del Piero,38.0,70.0,70.0,1682.0,23.77
 14 A. Diego,27.0,60.0,65.0,1511.0,24.29
 14 A. Kwasnik,30.0,56.0,56.0,1563.0,24.04
 14 A. Mitchell,19.0,59.0,69.0,1554.0,24.47
 14 A. Nesta,37.0,73.0,73.0,1548.0,22.08
 14 Adriano,31.0,73.0,73.0,1629.0,24.63
 14 Adrián Sardinero,22.0,64.0,72.0,1630.0,23.98
 14 Alex,35.0,80.0,80.0,1909.0,23.77
 14 André Santos,30.0,75.0,75.0,2054.0,22.45
 14 B. Mendy,31.0,63.0,63.0,1693.0,23.68
 14 B. Seck,17.0,55.0,75.0,1369.0,22.98
 14 C. Allen,21.0,59.0,65.0,1674.0,22.13
 14 C. Mitu,18.0,57.0,69.0,1426.0,20.51
 14 C. Seedorf,37.0,82.0,82.0,2077.0,24.99
 14 Cacau,32.0,75.0,75.0,1870.0,23.09
 14 Chicão,32.0,75.0,75.0,1912.0,24.91
 14 Cris,36.0,70.0,70.0,1664.0,23.02
 14 Cássio,26.0,77.0,81.0,1313.0,25.88
 14 D. Boateng,20.0,58.0,64.0,1411.0,23.32
 14 D. Handling,19.0,54.0,73.0,1329.0,22.45
 14 D. Kolodin,31.0,67.0,67.0,1864.0,25.3
 14 D. Martínez,19.0,62.0,77.0,1483.0,22.42
 14 D. Millán,27.0,65.0,65.0,1735.0,24.74
 14 D. Rommedahl,34.0,65.0,65.0,1658.0,23.41
 14 D. Sullivan,18.0,53.0,66.0,1350.0,25.94
 14 D. Trezeguet,35.0,74.0,74.0,1716.0,21.77
 14 D. Van Buyten,35.0,78.0,78.0,1575.0,23.95
 14 Denilson,25.0,72.0,77.0,1952.0,23.09
 14 Dida,39.0,75.0,75.0,1274.0,21.96
 14 F. Adu,24.0,68.0,70.0,1662.0,22.79
 14 F. Fonseca,33.0,65.0,65.0,1684.0,22.13
 14 F. Mondragón,42.0,72.0,72.0,1204.0,25.63
 14 Fellipe Bastos,23.0,69.0,71.0,1931.0,25.21
 14 G. Arroyo,22.0,61.0,71.0,1519.0,22.75
 14 G. Branford,18.0,53.0,61.0,1456.0,22.13
 14 G. Rojo,19.0,50.0,55.0,1395.0,22.75
 14 Gabri,34.0,60.0,60.0,1627.0,24.09
 14 Gilberto Silva,36.0,73.0,73.0,1695.0,21.83
 14 Gilberto Souza,24.0,66.0,73.0,1735.0,22.93
 14 Gustavo Henrique,21.0,51.0,65.0,1489.0,23.41
 14 H. Al Jawehr,25.0,49.0,51.0,1284.0,21.22
 14 H. Díaz,26.0,60.0,62.0,1622.0,21.83
 14 Isael,25.0,66.0,72.0,1768.0,24.52
 14 J. Caso,27.0,59.0,59.0,1064.0,22.79
 14 J. Johns,18.0,55.0,63.0,1411.0,24.09
 14 J. Mejias,19.0,50.0,54.0,1202.0,22.75
 14 J. Park,32.0,78.0,78.0,1923.0,23.09
 14 J. Riquelme,35.0,79.0,79.0,1885.0,23.32
 14 J. Winchester,20.0,54.0,62.0,1469.0,21.51
 14 J. Wootton,18.0,50.0,65.0,1365.0,25.21
 14 J. Zanetti,39.0,75.0,75.0,1874.0,23.41
 14 Jefferson,22.0,59.0,68.0,1173.0,23.62
 14 Joaquín,20.0,58.0,71.0,1566.0,20.88
 14 Juan,31.0,69.0,69.0,1989.0,23.48
 14 Juninho,38.0,77.0,77.0,1974.0,23.09
 14 K. Haysman,18.0,54.0,65.0,1463.0,22.46
 14 Kwon Soon Yong,22.0,48.0,51.0,1258.0,21.83
 14 L. Stevenson,29.0,57.0,57.0,1522.0,22.78
 14 L. Torres,24.0,65.0,71.0,1674.0,24.95
 14 L. Triggs,18.0,45.0,59.0,1261.0,22.13
 14 Lincoln,34.0,71.0,71.0,1760.0,22.46
 14 M. Arboleda,33.0,65.0,65.0,1596.0,23.49
 14 M. Diarra,32.0,75.0,75.0,1842.0,24.52
 14 M. Elneny,20.0,65.0,76.0,1799.0,21.22
 14 M. Etherington,31.0,75.0,75.0,1916.0,19.93
 14 M. Hoganson,19.0,60.0,65.0,1526.0,20.91
 14 M. Jakóbowski,20.0,56.0,68.0,1431.0,22.1
 14 M. Mutumba,28.0,66.0,69.0,1722.0,25.39
 14 M. Rodriguez,37.0,62.0,62.0,1452.0,23.41
 14 M. Vučinić,29.0,79.0,79.0,1969.0,22.11
 14 Maicon Silva,25.0,63.0,67.0,1723.0,23.02
 14 Mansur,20.0,61.0,68.0,1683.0,23.13
 14 N. Anelka,34.0,77.0,77.0,1867.0,22.98
 14 N. Castillo,29.0,68.0,68.0,1814.0,20.72
 14 N. Seguin,23.0,58.0,63.0,1407.0,23.37
 14 Neilton,19.0,62.0,78.0,1667.0,20.91
 14 O. Möller,26.0,58.0,61.0,1531.0,22.6
 14 P. Farkaš,28.0,69.0,73.0,1520.0,21.77
 14 Pablo,21.0,69.0,77.0,1862.0,19.49
 14 Pará,27.0,71.0,74.0,1990.0,24.52
 14 Pedro Castro,20.0,66.0,80.0,1752.0,23.68
 14 Pinto,37.0,72.0,72.0,1320.0,23.85
 14 Puyol,35.0,83.0,83.0,1853.0,24.99
 14 R. Bishara,33.0,58.0,58.0,1303.0,24.82
 14 R. Delap,36.0,63.0,63.0,1786.0,22.13
 14 R. Giggs,39.0,78.0,78.0,1939.0,22.46
 14 R. Ngankam,19.0,58.0,70.0,1486.0,22.78
 14 Rogério Ceni,40.0,75.0,75.0,1602.0,24.63
 14 Rondinelly,22.0,69.0,73.0,1661.0,19.61
 14 S. Cherundolo,34.0,73.0,73.0,1918.0,22.79
 14 S. Holden,27.0,72.0,74.0,2018.0,23.09
 14 S. Timmins,22.0,54.0,61.0,1363.0,22.75
 14 Sassá,19.0,64.0,76.0,1677.0,23.77
 14 Simão,33.0,74.0,74.0,1851.0,21.75
 14 T. King,18.0,54.0,66.0,1404.0,20.18
 14 T. Rocchi,35.0,69.0,69.0,1645.0,24.04
 14 V. Bijev,20.0,56.0,66.0,1363.0,19.73
 14 V. Celjak,21.0,55.0,68.0,1442.0,21.8
 14 V. Weiss,23.0,79.0,83.0,1913.0,23.8
 14 Y. Benayoun,33.0,76.0,76.0,1912.0,21.83
 14 Zé Rafael,20.0,66.0,79.0,1814.0,23.11
 15 A. Arena,23.0,56.0,61.0,1287.0,23.68
 15 A. Bagceci,30.0,60.0,60.0,1522.0,21.51
 15 A. Billard,36.0,75.0,75.0,1248.0,26.01
 15 A. Fathy,22.0,61.0,67.0,1626.0,23.32
 15 A. Fischer,23.0,47.0,53.0,1285.0,21.51
 15 A. Morozo,22.0,68.0,75.0,1641.0,22.06
 15 A. Réveillère,34.0,74.0,74.0,1891.0,23.68
 15 A. Santanabria,18.0,64.0,77.0,1507.0,21.53
 15 A. Scrugli,22.0,55.0,62.0,1358.0,20.33
 15 A. Tymoshchuk,35.0,75.0,75.0,1965.0,21.22
 15 A. Wandzel,19.0,53.0,62.0,1192.0,24.91
 15 André Moritz,27.0,70.0,70.0,1787.0,23.49
 15 B. Convey,31.0,63.0,63.0,1731.0,22.14
 15 B. Friedel,43.0,77.0,77.0,1310.0,26.04
 15 C. Güvenç,21.0,62.0,71.0,1482.0,22.08
 15 C. Halucha,19.0,58.0,73.0,1559.0,20.37
 15 C. Hengbart,32.0,71.0,71.0,1877.0,23.32
 15 C. Lancaster,21.0,58.0,64.0,1451.0,21.83
 15 C. Lawson,19.0,55.0,66.0,1372.0,22.72
 15 C. Mahony,19.0,49.0,57.0,1301.0,24.13
 15 C. Moore,19.0,54.0,62.0,1356.0,23.13
 15 C. Murray,20.0,53.0,60.0,1361.0,22.75
 15 C. Natali,35.0,74.0,74.0,1440.0,23.62
 15 C. Poulsen,34.0,72.0,72.0,1802.0,22.72
 15 Capdevila,36.0,69.0,69.0,1925.0,23.32
 15 Cristian,31.0,73.0,73.0,2016.0,22.75
 15 D. Forlán,35.0,78.0,78.0,1939.0,23.98
 15 D. Ifrán,27.0,70.0,70.0,1761.0,24.74
 15 D. Kazlauskas,20.0,53.0,63.0,1340.0,22.46
 15 D. Lugano,33.0,74.0,74.0,1493.0,23.49
 15 D. Oliech,29.0,68.0,68.0,1755.0,25.52
 15 D. Pérez,34.0,70.0,70.0,1845.0,25.62
 15 D. Školnik,25.0,64.0,68.0,1800.0,23.77
 15 E. Abidal,34.0,75.0,75.0,1696.0,21.23
 15 E. Rossi,17.0,47.0,52.0,1303.0,23.09
 15 Ederson,28.0,74.0,74.0,1956.0,22.45
 15 F. Amorebielsa,28.0,74.0,74.0,1599.0,22.27
 15 F. Balzaretti,32.0,71.0,71.0,1835.0,21.83
 15 F. Lukšík,29.0,62.0,62.0,1706.0,22.69
 15 F. Malouda,34.0,72.0,72.0,1805.0,22.45
 15 F. Reimer,17.0,53.0,65.0,1135.0,21.22
 15 Fagner,25.0,72.0,75.0,2038.0,23.84
 15 G. Lérez,26.0,70.0,76.0,1822.0,23.32
 15 G. Plasmati,31.0,62.0,62.0,1515.0,22.16
 15 H. Bueno,22.0,54.0,60.0,1638.0,23.09
 15 H. Ortiguilla,30.0,69.0,69.0,1814.0,23.62
 15 H. Sillerström,18.0,55.0,64.0,1235.0,21.77
 15 Hosny,29.0,73.0,73.0,2034.0,23.11
 15 I. Al Htrsh,23.0,50.0,56.0,1432.0,22.14
 15 I. Harte,36.0,63.0,63.0,1836.0,25.39
 15 I. Zeytulaev,29.0,62.0,62.0,1656.0,21.83
 15 J. Anangonó,25.0,63.0,67.0,1535.0,22.4
 15 J. Aranguren,33.0,75.0,75.0,1915.0,23.32
 15 J. Blake,19.0,54.0,66.0,1463.0,20.6
 15 J. Caballero,20.0,58.0,66.0,1545.0,22.01
 15 J. Cacho,32.0,62.0,62.0,1572.0,24.67
 15 J. Dixon,20.0,57.0,66.0,1150.0,20.39
 15 J. Green,19.0,45.0,53.0,1346.0,21.12
 15 J. Maloney,19.0,50.0,57.0,1271.0,22.72
 15 J. N'Guessan,18.0,49.0,59.0,1260.0,23.98
 15 J. Shama,19.0,42.0,55.0,1236.0,22.75
 15 J. Tizón,26.0,71.0,73.0,1869.0,24.13
 15 Jorge Pesca,22.0,62.0,71.0,1685.0,23.98
 15 Junior Malanda,19.0,73.0,85.0,1867.0,23.98
 15 K. Eriksen,23.0,58.0,64.0,1391.0,23.78
 15 K. Fahey,31.0,66.0,66.0,1888.0,24.99
 15 K. Holz,20.0,52.0,66.0,1376.0,20.18
 15 K. McAusland,21.0,56.0,67.0,1471.0,22.93
 15 L. Barrogios,30.0,75.0,75.0,1904.0,22.93
 15 L. Cardosa,26.0,63.0,69.0,1538.0,20.63
 15 L. Lima,19.0,50.0,54.0,1313.0,23.09
 15 L. Morales,21.0,62.0,66.0,1653.0,24.2
 15 L. Perea,35.0,75.0,75.0,1724.0,23.37
 15 L. Scaloni,36.0,65.0,65.0,1756.0,23.62
 15 L. Shankland,18.0,57.0,69.0,1489.0,22.98
 15 M. Antic,19.0,59.0,69.0,1639.0,22.69
 15 M. D'Alessandro,25.0,63.0,65.0,1703.0,21.53
 15 M. Davies,19.0,55.0,63.0,1396.0,23.09
 15 M. Ezzat,22.0,65.0,69.0,1507.0,22.08
 15 M. Fotheringham,30.0,59.0,59.0,1614.0,24.04
 15 M. Gundelach,22.0,56.0,63.0,1625.0,22.45
 15 M. Jansen,28.0,76.0,76.0,2056.0,24.25
 15 M. Maertens,19.0,58.0,68.0,1564.0,21.23
 15 M. Niang,34.0,67.0,67.0,1760.0,24.99
 15 M. Romerón,28.0,74.0,74.0,1866.0,21.22
 15 M. Yaqub,20.0,50.0,62.0,1257.0,22.13
 15 Marcos Paulo,25.0,69.0,72.0,1899.0,23.98
 15 N. Kovačević,33.0,63.0,63.0,1738.0,25.39
 15 N. Ragnoli,20.0,52.0,63.0,1485.0,25.07
 15 N. Žigić,33.0,64.0,64.0,1634.0,23.25
 15 Nenê,32.0,76.0,76.0,1920.0,21.22
 15 O. Arzamendia,20.0,56.0,65.0,1548.0,22.46
 15 O. Cardosa,30.0,80.0,80.0,1854.0,23.49
 15 O. Sánchez,40.0,71.0,71.0,1328.0,24.82
 15 P. Aimar,34.0,77.0,77.0,1835.0,21.41
 15 P. Guerrero,30.0,78.0,78.0,1838.0,23.85
 15 Pablo Moreno,21.0,58.0,65.0,1513.0,23.09
 15 R. Ferdinand,35.0,75.0,75.0,1620.0,23.08
 15 R. Kortzorg,24.0,64.0,68.0,1676.0,24.04
 15 R. Sartre,31.0,63.0,63.0,1537.0,24.14
 15 Reiner,26.0,67.0,69.0,1561.0,21.23
 15 Ronaldinho,34.0,78.0,78.0,1875.0,22.72
 15 S. Abreu,37.0,68.0,68.0,1610.0,22.54
 15 S. Caldwell,33.0,68.0,68.0,1561.0,20.38
 15 S. Diawara,35.0,73.0,73.0,1606.0,24.63
 15 S. Diomande,22.0,58.0,62.0,1555.0,21.35
 15 S. Kehl,34.0,78.0,78.0,1949.0,22.36
 15 S. La Cruz,33.0,76.0,76.0,1715.0,21.77
 15 S. McCarthy,25.0,63.0,65.0,1654.0,21.7
 15 S. Romerón,25.0,80.0,83.0,1818.0,23.49
 15 S. Smith,18.0,50.0,68.0,1466.0,23.8
 15 S. Topliss,19.0,53.0,63.0,1418.0,22.14
 15 T. Ben Haim,32.0,69.0,69.0,1565.0,24.52
 15 T. Guarente,28.0,69.0,69.0,1874.0,21.83
 15 T. Henry,36.0,79.0,79.0,1882.0,23.49
 15 T. Khattab,22.0,66.0,70.0,1372.0,21.2
 15 Thiago Neves,29.0,77.0,77.0,1933.0,20.63
 15 V. Larrondo,29.0,76.0,76.0,1524.0,24.14
 15 W. Palacios,29.0,65.0,65.0,1896.0,22.46
 15 Xavi,34.0,86.0,86.0,2104.0,23.13
 16 A. Arshavin,34.0,75.0,75.0,1842.0,23.13
 16 A. Connolly,19.0,61.0,73.0,1509.0,23.48
 16 A. Di Natale,37.0,77.0,77.0,1944.0,23.82
 16 A. Johnson,27.0,78.0,78.0,1947.0,20.51
 16 A. Marconi,30.0,62.0,62.0,1695.0,23.77
 16 A. Sáenz-Laguna,23.0,57.0,63.0,1141.0,25.3
 16 Adrianinho,34.0,69.0,69.0,1711.0,22.14
 16 Alan Ruschel,25.0,67.0,68.0,1803.0,23.77
 16 Alex,33.0,79.0,79.0,1757.0,26.04
 16 Amauri,35.0,73.0,73.0,1679.0,24.14
 16 Anderson,27.0,73.0,73.0,2004.0,22.14
 16 B. Hangeland,34.0,72.0,72.0,1464.0,24.05
 16 B. Ulens,27.0,64.0,64.0,1732.0,21.51
 16 Batista,20.0,64.0,73.0,1619.0,22.78
 16 Breno,25.0,75.0,77.0,1755.0,23.15
 16 Bruno Alves,25.0,64.0,66.0,1703.0,23.41
 16 Bruno Nazario,20.0,65.0,74.0,1599.0,21.83
 16 C. Abbiati,37.0,75.0,75.0,1160.0,25.35
 16 C. Blanco,42.0,71.0,71.0,1741.0,24.99
 16 C. Ekangamene,21.0,61.0,68.0,1680.0,24.04
 16 C. Eloundou,20.0,61.0,69.0,1641.0,23.82
 16 C. Garel,18.0,59.0,65.0,947.0,23.32
 16 C. Makiadi,31.0,72.0,72.0,2004.0,24.36
 16 C. Oliver,21.0,54.0,63.0,1465.0,24.04
 16 C. Saucedo,33.0,70.0,70.0,1171.0,22.93
 16 C. Telfer,19.0,62.0,76.0,1695.0,23.77
 16 C. Williams,18.0,59.0,72.0,1375.0,19.37
 16 Carlos Alberto,30.0,73.0,73.0,1821.0,23.77
 16 Carlos Eduardo,27.0,73.0,73.0,1772.0,23.48
 16 Clayton,19.0,72.0,82.0,1757.0,22.79
 16 D. Agger,30.0,77.0,77.0,1894.0,22.87
 16 D. Aguilar,18.0,56.0,65.0,1401.0,21.75
 16 D. Berbatov,34.0,80.0,80.0,1856.0,20.95
 16 D. Boerrigter,28.0,65.0,65.0,1750.0,22.93
 16 D. Eve,19.0,57.0,71.0,1169.0,22.54
 16 D. Henderson,18.0,47.0,60.0,967.0,23.21
 16 D. Jennings,22.0,63.0,69.0,1600.0,23.82
 16 D. López,31.0,66.0,66.0,1710.0,25.01
 16 D. Milito,36.0,78.0,78.0,1859.0,23.32
 16 D. Zagadou,20.0,50.0,58.0,1208.0,22.75
 16 Daniel Guedes,21.0,64.0,73.0,1623.0,20.91
 16 Danilo,29.0,74.0,74.0,1195.0,22.98
